0000, 8ee8
0d5b, 581d
0d5c, d131
0d5d, fdc4
0d5e, 6207
0d5f, f7c9
0d60, dd81
0d61, 1822
0d62, 7222
0d63, f25d
0d64, 5b6a
0d65, 9684
0d66, d64a
0d67, 0343
0d68, 8221
0d69, 9863
0d6a, d46a
0d6b, 534a
0d6c, a623
0d6d, 4841
0d6e, a3b4
0d6f, 658c
0d70, a9eb
0d71, 77a6
0d72, 0d6d
0d73, 1975
0d74, 1dd6
0d75, 1d48
0d76, 9916
0d77, 0484
0d78, ed64
0d79, 14d8
0d7a, f706
0d7b, e48d
0d7c, 09f8
0d7d, e7c8
0d7e, f798
0d7f, a446
0d80, 634b
0d81, 2b7c
0d82, ca07
0d83, 9fc8
0d84, 5bb0
0d85, 97e9
0d86, 1e8c
0d87, c358
0d88, 4a08
0d89, 98b5
0d8a, 9a27
0d8b, 4357
0d8c, cee4
0d8d, 4bb4
0d8e, 5d1e
0d8f, 6ee6
0d90, 90c8
0d91, d767
0d92, 2dcb
0d93, 7915
0d94, e35d
0d95, 7db2
0d96, 3e50
0d97, 24f8
0d98, 32c5
0d99, 7454
0d9a, 9ef6
0d9b, 43f6
0d9c, 2989
0d9d, 30be
0d9e, 07ab
0d9f, 92b3
0da0, 3541
0da1, 3372
0da2, 6672
0da3, abd3
0da4, 543a
0da5, 0d22
0da6, dc9a
0da7, 6893
0da8, 5071
0da9, 0433
0daa, db3a
0dab, 5e9a
0dac, d203
0dad, 3fe1
0dae, f522
0daf, 5d21
0db0, 098c
0db1, 7cc2
0db2, c6d2
0db3, 9e03
0db4, 4d6a
0db5, f283
0db6, 9f4a
0db7, c843
0db8, 46d1
0db9, 1363
0dba, 976a
0dbb, 484a
0dbc, 0f13
0dbd, ec21
0dbe, 90e4
0dbf, d48a
0dc0, ad48
0dc1, e46d
0dc2, 7bd6
0dc3, 1d46
0dc4, fb66
0dc5, fb58
0dc6, 0d8d
0dc7, 0538
0dc8, eb28
0dc9, 15b5
0dca, a4d6
0dcb, 9546
0dcc, 0d64
0dcd, e484
0dce, a4d8
0dcf, a58b
0dd0, 60e8
0dd1, 1177
0dd2, c77c
0dd3, 968b
0dd4, 5d27
0dd5, 9a1e
0dd6, 2287
0dd7, c884
0dd8, 4774
0dd9, 9328
0dda, 65b7
0ddb, 488c
0ddc, c2b8
0ddd, 41e8
0dde, 097e
0ddf, 6f1b
0de0, f91e
0de1, 5ed2
0de2, dcd2
0de3, abd8
0de4, 938b
0de5, 0c07
0de6, 6612
0de7, d4f4
0de8, 3a24
0de9, 0458
0dea, a64b
0deb, 3312
0dec, 6ba4
0ded, 5944
0dee, fea7
0def, 9a7e
0df0, 36b4
0df1, 0dcb
0df2, 67b6
0df3, a9e4
0df4, 3480
0df5, ac70
0df6, 9317
0df7, 68e5
0df8, 9bb9
0df9, a485
0dfa, f98c
0dfb, 5ee0
0dfc, 6f4e
0dfd, 9a28
0dfe, d67c
0dff, 3c75
0e00, 8ef3
0e01, b755
0e02, b136
0e03, 7b56
0e04, 443a
0e05, eca9
0e06, beaa
0e07, 82a6
0e08, c43a
0e09, e436
0e0a, bb3a
0e0b, 4caa
0e0c, b806
0e0d, 7b3f
0e0e, ee99
0e0f, 4ca3
0e10, 1460
0e11, a64e
0e12, 0387
0e13, 2717
0e14, 2e9f
0e15, e2be
0e16, 3c97
0e17, 5a77
0e18, fb51
0e19, 81e7
0e1a, 2c09
0e1b, 3e01
0e1c, d9c7
0e1d, a46e
0e1e, 184e
0e1f, cb6a
0e20, c76d
0e21, 0f8b
0e22, a840
0e23, e4e7
0e24, df99
0e25, 16de
0e26, f801
0e27, 37c0
0e28, 1d8e
0e29, 49f7
0e2a, c89f
0e2b, 4f7e
0e2c, 9d77
0e2d, f754
0e2e, ecb8
0e2f, ad60
0e30, 446a
0e31, 2c1e
0e32, 2ee7
0e33, dd40
0e34, 6551
0e35, 4bbe
0e36, 3a9c
0e37, 3070
0e38, 879f
0e39, 3580
0e3a, dd61
0e3b, 5901
0e3c, dfc0
0e3d, 210f
0e3e, 444e
0e3f, bb6a
0e40, 1769
0e41, be5a
0e42, d39d
0e43, 9992
0e44, 3447
0e45, fd63
0e46, f607
0e47, 3272
0e48, dff0
0e49, f482
0e4a, f957
0e4b, 3cc7
0e4c, 506c
0e4d, c890
0e4e, e703
0e4f, 3dd9
0e50, b2d6
0e51, c142
0e52, 753c
0e53, 114c
0e54, 6559
0e55, 80a4
0e56, e4a9
0e57, 80ac
0e58, 9659
0e59, 853c
0e5a, 7139
0e5b, 5909
0e5c, 12cc
0e5d, ec35
0e5e, 4224
0e5f, 6006
0e60, 819f
0e61, dbf4
0e62, 64f2
0e63, d6f2
0e64, 59f7
0e65, 82a3
0e66, bf7a
0e67, 8dcd
0e68, 6ef7
0e69, 53f2
0e6a, 6a9c
0e6b, 80c0
0e6c, 25cd
0e6d, 6c91
0e6e, 48f3
0e6f, 87a9
0e70, 72aa
0e71, 0517
0e72, 61ea
0e73, 9510
0e74, de11
0e75, 8a01
0e76, e3cf
0e77, 8a0a
0e78, 4011
0e79, 81ea
0e7a, 03f1
0e7b, 4ea1
0e7c, 9ba0
0e7d, 92f1
0e7e, ebce
0e7f, d0aa
0e80, ec65
0e81, a892
0e82, 2f8b
0e83, 4e5a
0e84, 39f0
0e85, 3a65
0e86, 9207
0e87, 4d7b
0e88, c547
0e89, 3396
0e8a, e490
0e8b, 40c7
0e8c, 376c
0e8d, 015b
0e8e, 1b03
0e8f, f6d9
0e90, 776a
0e91, c8e7
0e92, 2ff7
0e93, f980
0e94, d481
0e95, 4dde
0e96, 9501
0e97, 4cc0
0e98, 3a9f
0e99, 4440
0e9a, 0951
0e9b, 3171
0e9c, f670
0e9d, eb9f
0e9e, 17be
0e9f, dd6a
0ea0, 4439
0ea1, 2293
0ea2, b89d
0ea3, ad52
0ea4, 3557
0ea5, eb63
0ea6, dfa7
0ea7, 5602
0ea8, 2e90
0ea9, 9552
0eaa, dd37
0eab, 3007
0eac, d302
0ead, 2cf9
0eae, 1453
0eaf, 4b69
0eb0, eba9
0eb1, 613c
0eb2, 2512
0eb3, 5f3c
0eb4, 51ec
0eb5, 36a3
0eb6, e6c0
0eb7, 4ba2
0eb8, bfec
0eb9, 3812
0eba, 95f7
0ebb, 8c0c
0ebc, 8a2a
0ebd, 08f7
0ebe, 8cdf
0ebf, 5a0f
0ec0, 4eaa
0ec1, 6ae1
0ec2, 6917
0ec3, 6aea
0ec4, 6ff1
0ec5, 87ce
0ec6, 401a
0ec7, 57a0
0ec8, 5cf1
0ec9, 5910
0eca, d0a1
0ecb, 8fcf
0ecc, 610a
0ecd, dea1
0ece, 81e1
0ecf, bcaa
0ed0, 1839
0ed1, dc58
0ed2, de52
0ed3, 2296
0ed4, 8190
0ed5, 4763
0ed6, dea7
0ed7, 3b02
0ed8, 0457
0ed9, 489d
0eda, 27f0
0edb, 5c07
0edc, d40b
0edd, ab3e
0ede, 4155
0edf, e269
0ee0, 8e06
0ee1, 7b41
0ee2, c44c
0ee3, bb4c
0ee4, b439
0ee5, 4cc4
0ee6, 8790
0ee7, 4ccc
0ee8, e239
0ee9, 444c
0eea, bb69
0eeb, 81a9
0eec, becc
0eed, 7869
0eee, 8e14
0eef, bca6
0ef0, 42d3
0ef1, 74f6
0ef2, 6956
0ef3, e1f6
0ef4, 553a
0ef5, 9009
0ef6, 12aa
0ef7, 5606
0ef8, 053a
0ef9, 9556
0efa, 113a
0efb, 50aa
0efc, 8cd0
0efd, c13d
0efe, 82a9
0eff, 50a3
0f00, 8558
0f01, 7508
0f02, ebe8
0f03, 7008
0f04, ee87
0f05, bb77
0f06, 7507
0f07, 8ebe
0f08, 7e8b
0f09, 7ee8
0f0a, 7057
0f0b, eb77
0f0c, 8057
0f0d, 7058
0f0e, 8507
0f0f, 8bb8
0f10, 15f8
0f11, c5c8
0f12, fbf8
0f13, d0d9
0f14, 4e47
0f15, cba6
0f16, de20
0f17, 3ede
0f18, a51b
0f19, 2e39
0f1a, 2037
0f1b, 3027
0f1c, 4047
0f1d, ab15
0f1e, f5a6
0f1f, 1bc8
0f20, 8f58
0f21, bfb8
0f22, ede8
0f23, 6d05
0f24, 8f57
0f25, 0d06
0f26, 6476
0f27, 8fbe
0f28, 04e6
0f29, 6f59
0f2a, bd9b
0f2b, 5cb0
0f2c, 8deb
0f2d, 6c85
0f2e, 5f66
0f2f, ed08
0f30, 1ff8
0f31, dfd9
0f32, 4c39
0f33, acc8
0f34, ff16
0f35, cca6
0f36, 2120
0f37, 3fde
0f38, 2147
0f39, aff8
0f3a, cc16
0f3b, 3a20
0f3c, 3c47
0f3d, 2a3e
0f3e, ffa6
0f3f, 1cc8
0f40, 8551
0f41, b504
0f42, 8051
0f43, 7bb3
0f44, ee8a
0f45, 7002
0f46, be7a
0f47, 8ebf
0f48, 759c
0f49, 7ee3
0f4a, bb8a
0f4b, eb7a
0f4c, 8bed
0f4d, b091
0f4e, e562
0f4f, e061
0f50, 1ff1
0f51, dfd3
0f52, fdf3
0f53, add3
0f54, 1ff2
0f55, ddaa
0f56, 23a2
0f57, 3fdf
0f58, c3f2
0f59, aff3
0f5a, cd32
0f5b, 4adc
0f5c, 3dfd
0f5d, 2a34
0f5e, ffaa
0f5f, 4da1
0f60, 15f1
0f61, de2f
0f62, 3041
0f63, 272f
0f64, f51a
0f65, 272c
0f66, c5aa
0f67, 3edf
0f68, a51c
0f69, d94f
0f6a, cb1a
0f6b, fbaa
0f6c, 403a
0f6d, ab1f
0f6e, 49dc
0f6f, 1bc1
0f70, 85f8
0f71, b5c8
0f72, 804e
0f73, 6bc8
0f74, 8e40
0f75, 60d0
0f76, b5a6
0f77, 8ede
0f78, 6e40
0f79, 6e4e
0f7a, bb16
0f7b, 80d0
0f7c, 8bfb
0f7d, 6b15
0f7e, 55a6
0f7f, 80de
0f80, 1551
0f81, deb3
0f82, fbe3
0f83, 2604
0f84, 159c
0f85, c602
0f86, de7a
0f87, 3ebf
0f88, ae8d
0f89, 2951
0f8a, 209c
0f8b, fb7a
0f8c, 3bed
0f8d, ab8f
0f8e, 4962
0f8f, 1064
0f90, 1558
0f91, d505
0f92, 3059
0f93, abb8
0f94, 1ee6
0f95, a006
0f96, 2876
0f97, 3ebe
0f98, 2957
0f99, aee8
0f9a, cb86
0f9b, 47b0
0f9c, 3beb
0f9d, 2698
0f9e, f566
0f9f, 1008
0fa0, 1f51
0fa1, 2f61
0fa2, 4c81
0fa3, cc73
0fa4, ff8a
0fa5, cc72
0fa6, c47a
0fa7, 3fbf
0fa8, c4ec
0fa9, afe3
0faa, cc8a
0fab, fd7a
0fac, 4c8a
0fad, cd91
0fae, 1f02
0faf, 1cb1
0fb0, 8ff1
0fb1, 64c3
0fb2, 5c4f
0fb3, b2c3
0fb4, e41a
0fb5, badc
0fb6, bfaa
0fb7, 8fdf
0fb8, 041a
0fb9, b14f
0fba, bc1a
0fbb, edaa
0fbc, 8dfd
0fbd, 6c1f
0fbe, 83a2
0fbf, eda1
0fc0, 8f51
0fc1, bfb1
0fc2, 5c51
0fc3, 6cb1
0fc4, 5f8a
0fc5, bc6a
0fc6, bf6a
0fc7, 8fbf
0fc8, 6f8c
0fc9, 6f51
0fca, bc8a
0fcb, 5c6a
0fcc, 8c5c
0fcd, 6c8f
0fce, 5f6a
0fcf, 8cb1
0fd0, 1f58
0fd1, a475
0fd2, fde8
0fd3, 2a6e
0fd4, 14e7
0fd5, c27b
0fd6, a470
0fd7, 3fbe
0fd8, af8b
0fd9, 218e
0fda, cd97
0fdb, fd77
0fdc, 3c80
0fdd, ac85
0fde, 130b
0fdf, 1cb8
0fe0, 85f1
0fe1, 05a3
0fe2, ebf3
0fe3, 00a3
0fe4, ee12
0fe5, bbaa
0fe6, b9dc
0fe7, 8edf
0fe8, 7812
0fe9, 7ef3
0fea, 70f2
0feb, 872c
0fec, 503a
0fed, 76f4
0fee, 55aa
0fef, 8bc1
0ff0, 8ff8
0ff1, bfd8
0ff2, edf8
0ff3, 7dd8
0ff4, ef37
0ff5, bda7
0ff6, bfa7
0ff7, 8fde
0ff8, 7f3b
0ff9, 7ff8
0ffa, bd37
0ffb, eda7
0ffc, 8dfb
0ffd, 7d3e
0ffe, efa7
0fff, 8dd8
1000, dea8
1001, 3e38
1002, 5c68
1003, a8db
1004, 546e
1005, 0197
1006, d7ae
1007, 549b
1008, 0267
1009, 926b
100a, 3b37
100b, 619e
100c, dbfb
100d, f8d7
100e, a7fe
100f, 5c98
1010, be78
1011, 5e98
1012, 5ca8
1013, b860
1014, 842e
1015, b1f6
1016, 66be
1017, 5437
1018, 6acb
1019, 82d0
101a, 8b87
101b, 634e
101c, 6b57
101d, 597b
101e, b795
101f, 8c18
1020, 8248
1021, 52d8
1022, 8078
1023, ecd0
1024, 856e
1025, 6996
1026, 0f4e
1027, 8587
1028, 6776
1029, 5660
102a, e12e
102b, 6889
102c, 9137
102d, 6d2b
102e, b436
102f, 8098
1030, d521
1031, 3ef1
1032, 5ca1
1033, 252a
1034, 54df
1035, 643c
1036, d7af
1037, 8f1a
1038, 6acc
1039, 8d2a
103a, 3b3a
103b, 61ff
103c, 201a
103d, 39cc
103e, db31
103f, 5d41
1040, 973e
1041, 57de
1042, 8d74
1043, e0c6
1044, 8461
1045, 7382
1046, 7519
1047, 8492
1048, ba7c
1049, e262
104a, e929
104b, b191
104c, 8940
104d, 0ba7
104e, 0efb
104f, 8d81
1050, 3684
1051, f764
1052, 1dbe
1053, f76c
1054, 34b9
1055, 2feb
1056, a5e1
1057, 4fe7
1058, a2b0
1059, 4db7
105a, f9b1
105b, d1e9
105c, f89c
105d, a0b2
105e, d852
105f, 3ce5
1060, 24d9
1061, f438
1062, fb68
1063, a3db
1064, 356e
1065, c856
1066, 2d29
1067, 1586
1068, db67
1069, f66b
106a, 3d37
106b, 2589
106c, cd46
106d, 34d7
106e, c235
106f, 4b59
1070, e781
1071, 9761
1072, 4db1
1073, 906c
1074, 44bf
1075, d35a
1076, 0e5f
1077, 445c
1078, d2ba
1079, 32bc
107a, 99bf
107b, 235f
107c, e98a
107d, 00bc
107e, 7e5a
107f, 4d51
1080, 4233
1081, 32a1
1082, e0c1
1083, 1cad
1084, 55df
1085, 09fa
1086, a131
1087, e542
1088, b0c2
1089, 96dd
108a, 11df
108b, b541
108c, f1f2
108d, d2d2
108e, 24fa
108f, 50f3
1090, 9a41
1091, 92a1
1092, 40c1
1093, ea2a
1094, 45df
1095, 254c
1096, 04ff
1097, 4efc
1098, d7ca
1099, 4bdc
109a, 91df
109b, 29ff
109c, e31a
109d, 0dcc
109e, 013c
109f, 3b4f
10a0, 6461
10a1, 5494
10a2, 5ba8
10a3, 73bd
10a4, 8529
10a5, 083b
10a6, ba7f
10a7, 8516
10a8, 67a7
10a9, e626
10aa, 8d8a
10ab, b919
10ac, bded
10ad, 510c
10ae, 0254
10af, 5b3e
10b0, 1759
10b1, f708
10b2, 1d28
10b3, f00b
10b4, 342e
10b5, a336
10b6, c989
10b7, 143b
10b8, 2d27
10b9, f22b
10ba, f96e
10bb, 243e
10bc, 19e6
10bd, a767
10be, ce96
10bf, 3d39
10c0, 24b1
10c1, 3451
10c2, 5b61
10c3, d36c
10c4, 55bf
10c5, b85a
10c6, d26f
10c7, 858a
10c8, 66bc
10c9, 566c
10ca, 3d8a
10cb, 685f
10cc, 2d8a
10cd, 33bc
10ce, 225f
10cf, 8b81
10d0, bea3
10d1, 9ef1
10d2, fca1
10d3, 78dd
10d4, 44df
10d5, c1fa
10d6, 6bd1
10d7, f432
10d8, dca2
10d9, 12dd
10da, 8b3a
10db, d431
10dc, 0b32
10dd, 5ea2
10de, 77ff
10df, 4cf3
10e0, df78
10e1, f45e
10e2, fb61
10e3, d467
10e4, 35b1
10e5, de92
10e6, da7e
10e7, 3e9c
10e8, a6bc
10e9, 3b6c
10ea, 3d87
10eb, d9e1
10ec, dc97
10ed, f3b7
10ee, dc98
10ef, 30e4
10f0, 5258
10f1, 9208
10f2, 4028
10f3, 9c0b
10f4, 452e
10f5, c917
10f6, 049e
10f7, 451b
10f8, c627
10f9, 162b
10fa, 916e
10fb, 291e
10fc, 5157
10fd, 0c6b
10fe, 6497
10ff, 4018
1100, 6e68
1101, 2ec8
1102, 8ce8
1103, 501c
1104, 54a8
1105, fd41
1106, 1256
1107, 84be
1108, 179f
1109, 3fc1
110a, 5b9b
110b, 1863
110c, 4b47
110d, c109
110e, 0521
110f, 5c38
1110, 2e28
1111, 8e88
1112, 8c28
1113, 247b
1114, 8478
1115, 2e82
1116, bbc4
1117, 841b
1118, 2c22
1119, 4b72
111a, 4b1b
111b, 2414
111c, bbeb
111d, 8e22
111e, 2c88
111f, 8c88
1120, e2e8
1121, e2c8
1122, 8068
1123, 47bc
1124, 45a8
1125, 2f5b
1126, 2141
1127, 859b
1128, b0d2
1129, 4d0b
112a, 81be
112b, b5f4
112c, 8147
112d, c2c2
112e, c8e2
112f, 4038
1130, d3c8
1131, cb44
1132, 7442
1133, d40d
1134, 3805
1135, 65e2
1136, 9d8d
1137, 9d2d
1138, eb48
1139, 5b0d
113a, 32f6
113b, 9525
113c, a52d
113d, 74b4
113e, dde4
113f, 36e8
1140, 5751
1141, e74e
1142, 8d51
1143, f809
1144, 4404
1145, 3c19
1146, 9fa4
1147, 84bf
1148, f633
1149, 4fa9
114a, 89bf
114b, f824
114c, 9929
114d, ecf3
114e, f6ee
114f, 4de4
1150, fd14
1151, 28ec
1152, cf97
1153, 5a27
1154, 58c3
1155, 6e86
1156, e178
1157, 1d6b
1158, 10fe
1159, 5b76
115a, 3f21
115b, 15d8
115c, 1772
115d, 82ee
115e, 031b
115f, 5743
1160, 28a3
1161, 41c7
1162, 2777
1163, 5aea
1164, 53a4
1165, 871e
1166, dd04
1167, d9e9
1168, bb0d
1169, 59c9
116a, 36f2
116b, 6594
116c, dac9
116d, 440d
116e, b171
116f, 82f3
1170, 874e
1171, 87b1
1172, 4d04
1173, 5a2a
1174, 8473
1175, 25f2
1176, d989
1177, 44ed
1178, 2dab
1179, 4bcd
117a, 5929
117b, 2415
117c, 598a
117d, 27b7
117e, b14c
117f, 8d94
1180, 1b93
1181, cc22
1182, 76dc
1183, e47e
1184, 3305
1185, 163e
1186, b139
1187, b9f1
1188, 6066
1189, 49ae
118a, 4e6f
118b, 6595
118c, c411
118d, 72a6
118e, ec88
118f, 3a55
1190, 308e
1191, 7112
1192, c532
1193, 576a
1194, 43a5
1195, d4ed
1196, 99c5
1197, 1b2d
1198, ed54
1199, 4d0d
119a, 3e69
119b, e4b3
119c, 9acd
119d, e718
119e, 698c
119f, 3215
11a0, d404
11a1, b4b1
11a2, 8b4e
11a3, 3cf0
11a4, 8573
11a5, 30ee
11a6, f632
11a7, 5529
11a8, e233
11a9, 3e09
11aa, 4ded
11ab, 93d4
11ac, 5d8a
11ad, c8d3
11ae, dfce
11af, 5b94
11b0, 8c3f
11b1, cb77
11b2, 2aa7
11b3, 95c9
11b4, 38c4
11b5, 8a91
11b6, 6951
11b7, 2119
11b8, dd0d
11b9, 817f
11ba, 5fd1
11bb, d4e4
11bc, a5e9
11bd, b76a
11be, eb1e
11bf, 36f3
11c0, b474
11c1, 44e4
11c2, 8b74
11c3, d5cd
11c4, 55c5
11c5, b412
11c6, ddc5
11c7, 55ed
11c8, 2b7b
11c9, 5dcd
11ca, 5ded
11cb, d5e5
11cc, dded
11cd, 44cb
11ce, 2b14
11cf, 8b18
11d0, 2165
11d1, e82c
11d2, c22c
11d3, 4717
11d4, 4803
11d5, e28e
11d6, bb05
11d7, 2111
11d8, bcd6
11d9, 817e
11da, 4296
11db, b4f5
11dc, b7c1
11dd, 8e66
11de, c82e
11df, 4753
11e0, 6924
11e1, ccee
11e2, ceec
11e3, 657b
11e4, 33c4
11e5, 6f4b
11e6, 1b4b
11e7, 1bb2
11e8, ecee
11e9, 5dcb
11ea, 5612
11eb, e4b8
11ec, c4bb
11ed, cece
11ee, 6088
11ef, 3a44
11f0, 92f8
11f1, 8288
11f2, 40f8
11f3, f3c1
11f4, 8578
11f5, 9b4f
11f6, 1e03
11f7, 45de
11f8, fa99
11f9, 5ecf
11fa, 51de
11fb, f365
11fc, e1be
11fd, 4b9f
11fe, fa44
11ff, 8088
1200, 7578
1201, 25d8
1202, 4b48
1203, 9b1a
1204, 5e6e
1205, 9044
1206, fa96
1207, 1e2e
1208, 4299
1209, 95c1
120a, 8087
120b, 1105
120c, 1037
120d, d309
120e, 0e23
120f, 9b98
1210, c5a8
1211, e598
1212, eb78
1213, 2f67
1214, 4e2e
1215, c4eb
1216, b0d1
1217, 8e87
1218, 7bc2
1219, 4cb7
121a, 4037
121b, be41
121c, b057
121d, e5a2
121e, cd98
121f, 1b18
1220, bf68
1221, 8f38
1222, eda8
1223, 2502
1224, 8f6e
1225, c592
1226, 2da4
1227, 8f37
1228, cda2
1229, 406c
122a, 8d9b
122b, 2f31
122c, bdfb
122d, 4fd2
122e, 2054
122f, ed98
1230, d129
1231, c0f4
1232, ce12
1233, 2f6a
1234, 31d9
1235, df8c
1236, eced
1237, f0cd
1238, ece4
1239, 3c6a
123a, 4a30
123b, 9f73
123c, cecd
123d, 7f04
123e, dc8f
123f, 3a4e
1240, b574
1241, b5de
1242, e03e
1243, 4090
1244, 8e61
1245, fbe9
1246, 9242
1247, ee29
1248, 9af3
1249, 1509
124a, 8b92
124b, 91c4
124c, 8b40
124d, 03d3
124e, de79
124f, 8081
1250, d123
1251, c091
1252, 259c
1253, 64c6
1254, 312f
1255, 0416
1256, ed5b
1257, 1002
1258, 8d9e
1259, 5c20
125a, 321d
125b, ef08
125c, c562
125d, 7f0e
125e, 6c45
125f, f213
1260, d9df
1261, 13a7
1262, c2c7
1263, e2ea
1264, 39d1
1265, e2e1
1266, dcb1
1267, a319
1268, 2c6a
1269, 937f
126a, 374c
126b, df51
126c, c2c9
126d, 3f6a
126e, 7301
126f, 473f
1270, b5a8
1271, 8594
1272, 8061
1273, b4cd
1274, 8e29
1275, bf3c
1276, 2b75
1277, 8e8a
1278, 2067
1279, 8c2a
127a, 8b16
127b, 2e89
127c, bbed
127d, 450b
127e, bdf4
127f, 803e
1280, d963
1281, 13dc
1282, cad2
1283, 8a97
1284, 396f
1285, ea58
1286, 6da5
1287, c3f1
1288, 0da6
1289, e30e
128a, 369d
128b, 6f39
128c, 2aa1
128d, 5fd6
128e, 736e
128f, f693
1290, d875
1291, 7d34
1292, 7ff2
1293, b50d
1294, 4969
1295, 6e8a
1296, eb46
1297, eccd
1298, e0f8
1299, 806a
129a, 4696
129b, eec5
129c, 742d
129d, 75d8
129e, 6be3
129f, 3789
12a0, 2fb1
12a1, 7f61
12a2, ec81
12a3, 1df0
12a4, 4fbf
12a5, fd1e
12a6, f712
12a7, 9fbf
12a8, 17f3
12a9, f4a9
12aa, 4c5c
12ab, f9a4
12ac, ec8a
12ad, a9a3
12ae, a4c9
12af, 3c51
12b0, 63a3
12b1, 4907
12b2, c607
12b3, 8710
12b4, 5121
12b5, e6fe
12b6, 6b74
12b7, c8e9
12b8, 606a
12b9, e8c9
12ba, 5212
12bb, 6e81
12bc, 2779
12bd, 550d
12be, b9ae
12bf, 5a3f
12c0, bf61
12c1, 4f51
12c2, 4cb1
12c3, 2e2a
12c4, 5fbf
12c5, 2e4c
12c6, 2c29
12c7, 3f8a
12c8, 2c27
12c9, 302a
12ca, 8c8a
12cb, df49
12cc, 2c8a
12cd, 4fd7
12ce, 2031
12cf, 8c81
12d0, a305
12d1, e9d2
12d2, 7722
12d3, 16f7
12d4, 4169
12d5, 1748
12d6, 6069
12d7, 7811
12d8, 7b06
12d9, 18ce
12da, 3a50
12db, be59
12dc, 76a1
12dd, 9506
12de, c9d8
12df, 1295
12e0, 08c3
12e1, 2d9e
12e2, 24e7
12e3, 6eb0
12e4, 5921
12e5, 05eb
12e6, 10fb
12e7, 1c7b
12e8, 4b1e
12e9, 50b7
12ea, 574a
12eb, 1ec8
12ec, cf0b
12ed, 25ae
12ee, 0be5
12ef, 9614
12f0, bf28
12f1, bf08
12f2, 8d58
12f3, 3c1a
12f4, 8f2e
12f5, fc43
12f6, f65d
12f7, ef6e
12f8, 369f
12f9, f4cf
12fa, 8d1b
12fb, f903
12fc, 8d57
12fd, a90f
12fe, a42f
12ff, ed18
1300, c9cf
1301, 946a
1302, 0bd0
1303, d8d9
1304, 1683
1305, 57f5
1306, 4376
1307, 6c00
1308, ba2d
1309, 5259
130a, c3b5
130b, 267d
130c, 3ea0
130d, 492d
130e, 6103
130f, ea1f
1310, afc9
1311, f19f
1312, 970f
1313, 0685
1314, fd43
1315, 09ea
1316, 98dd
1317, 92d5
1318, a700
1319, 0346
131a, 0523
131b, a2dd
131c, 9855
131d, f1a0
131e, aaef
131f, f0e9
1320, 36e9
1321, 5b0f
1322, 1a0f
1323, 0f16
1324, eb43
1325, c1ea
1326, acad
1327, e665
1328, caa0
1329, 7886
132a, fa13
132b, 76dd
132c, 9ca5
132d, db00
132e, 65ea
132f, 1c19
1330, f7f0
1331, dc56
1332, 3e5d
1333, a011
1334, 901e
1335, f70a
1336, 5fb2
1337, 5a24
1338, 6155
1339, 0f1c
133a, 0f71
133b, 602b
133c, 3944
133d, d7d5
133e, a100
133f, 9109
1340, 457f
1341, 0155
1342, c539
1343, 5648
1344, 1011
1345, 49a5
1346, 02a2
1347, 02ba
1348, 2158
1349, 5ce3
134a, 52f1
134b, 2022
134c, 002b
134d, c5e3
134e, 5465
134f, 110e
1350, 5bf9
1351, 92a3
1352, 40d3
1353, ae9d
1354, 1635
1355, c9fa
1356, 6c60
1357, 4d05
1358, ba6d
1359, c356
135a, 9c95
135b, 26a6
135c, 376f
135d, 0ba6
135e, 64fa
135f, ea9f
1360, 9097
1361, 67a3
1362, d1f3
1363, 21c8
1364, e79f
1365, 3fc3
1366, f10c
1367, d07b
1368, 7f19
1369, 47e8
136a, c10f
136b, 070c
136c, 3fcb
136d, 7079
136e, 501d
136f, 9fae
1370, 33cf
1371, 54f0
1372, e990
1373, b8ec
1374, 1afe
1375, e770
1376, d677
1377, fc7f
1378, 79ff
1379, cf9c
137a, 4bee
137b, acc0
137c, 5671
137d, d4ff
137e, 5dc0
137f, eecf
1380, 5691
1381, db66
1382, 2aa6
1383, fa4f
1384, 9b88
1385, 4c15
1386, 7ac6
1387, b6da
1388, cc0c
1389, 8b4f
138a, 9af8
138b, 7b6b
138c, acda
138d, b67a
138e, 3685
138f, fce1
1390, 5409
1391, f89d
1392, 4f56
1393, 631c
1394, 9cef
1395, 1a00
1396, 06cb
1397, 3723
1398, 2935
1399, ae1a
139a, 561e
139b, 6cbd
139c, 9dc4
139d, 0495
139e, 3b0a
139f, 19a9
13a0, 1ae0
13a1, abd9
13a2, 0459
13a3, 6f74
13a4, 9cf1
13a5, 5105
13a6, 3ed2
13a7, 0627
13a8, 2983
13a9, 5018
13aa, aea1
13ab, 6cd2
13ac, 93bc
13ad, 2ab5
13ae, 37f6
13af, 197f
13b0, 53ae
13b1, d433
13b2, b9f3
13b3, 4b88
13b4, fa9f
13b5, 8ec3
13b6, 6b0c
13b7, dcc6
13b8, 7e9e
13b9, 4af8
13ba, 8b9f
13bb, ca7c
13bc, d6bb
13bd, b319
13be, 3323
13bf, 9e7e
13c0, 901a
13c1, 0790
13c2, 91f0
13c3, cce1
13c4, 17ee
13c5, 9ac0
13c6, ffc7
13c7, 9071
13c8, a1ff
13c9, 7eec
13ca, c1ce
13cb, a077
13cc, ffe1
13cd, 07af
13ce, 0970
13cf, ffcf
13d0, af01
13d1, 31a6
13d2, d706
13d3, 652f
13d4, 9d38
13d5, 30e5
13d6, e5b6
13d7, d2da
13d8, 707a
13d9, 3d4f
13da, 0568
13db, 7d26
